KAYIT SIRA;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS;ACILIS;EN DUSUK;EN YUKSEK
105;XMANA_CFNPTLER;BIST METAL ANA (EURO);BIST BASIC METAL (EURO);EUR;06/01/2023;4370.61;4370.61;4370.61;4370.61
106;XMESY;BIST METAL ESYA MAKINA;BIST METAL PRODUCTS MACH.;TRY;06/01/2023;12006.82;11714.05;11330.34;12150.48
107;XMESY_CFNPTLUS;BIST METAL ESYA MAKINA (ABD DOLARI);BIST METAL PRODUCTS MACH. (USD);USD;06/01/2023;3726.38;3726.38;3726.38;3726.38
108;XMESY_CFNPTLER;BIST METAL ESYA MAKINA (EURO);BIST METAL PRODUCTS MACH. (EURO);EUR;06/01/2023;4155.79;4155.79;4155.79;4155.79
109;XKAGT;BIST ORMAN KAGIT BASIM;BIST WOOD PAPER PRINTING;TRY;06/01/2023;4805.75;4633.25;4409.22;4835.98
110;XKAGT_CFNPTLUS;BIST ORMAN KAGIT BASIM (ABD DOLARI);BIST WOOD PAPER PRINTING (USD);USD;06/01/2023;1491.49;1491.49;1491.49;1491.49
111;XKAGT_CFNPTLER;BIST ORMAN KAGIT BASIM (EURO);BIST WOOD PAPER PRINTING (EURO);EUR;06/01/2023;1663.37;1663.37;1663.37;1663.37
112;XTAST;BIST TAS TOPRAK;BIST NONMETAL MIN. PRODUCT;TRY;06/01/2023;5330.7;5098.56;4893.68;5352.03
113;XTAST_CFNPTLUS;BIST TAS TOPRAK (ABD DOLARI);BIST NONMETAL MIN. PRODUCT (USD);USD;06/01/2023;1654.41;1654.41;1654.41;1654.41
114;XTAST_CFNPTLER;BIST TAS TOPRAK (EURO);BIST NONMETAL MIN. PRODUCT (EURO);EUR;06/01/2023;1845.06;1845.06;1845.06;1845.06
115;XTEKS;BIST TEKSTIL DERI;BIST TEXTILE LEATHER;TRY;06/01/2023;2994.95;2867.45;2718.8;3012.61
116;XTEKS_CFNPTLUS;BIST TEKSTIL DERI (ABD DOLARI);BIST TEXTILE LEATHER (USD);USD;06/01/2023;929.5;929.5;929.5;929.5
117;XTEKS_CFNPTLER;BIST TEKSTIL DERI (EURO);BIST TEXTILE LEATHER (EURO);EUR;06/01/2023;1036.61;1036.61;1036.61;1036.61
118;XUHIZ;BIST HIZMETLER;BIST SERVICES;TRY;06/01/2023;4529.69;4333.55;4197.29;4578.94
119;XUHIZ_CFNPTLUS;BIST HIZMETLER (ABD DOLARI);BIST SERVICES (USD);USD;06/01/2023;1405.81;1405.81;1405.81;1405.81
120;XUHIZ_CFNPTLER;BIST HIZMETLER (EURO);BIST SERVICES (EURO);EUR;06/01/2023;1567.81;1567.81;1567.81;1567.81
121;XELKT;BIST ELEKTRIK;BIST ELECTRICITY;TRY;06/01/2023;427.27;408.27;390.58;432.34
122;XELKT_CFNPTLUS;BIST ELEKTRIK (ABD DOLARI);BIST ELECTRICITY (USD);USD;06/01/2023;132.61;132.61;132.61;132.61
123;XELKT_CFNPTLER;BIST ELEKTRIK (EURO);BIST ELECTRICITY (EURO);EUR;06/01/2023;147.89;147.89;147.89;147.89
124;XILTM;BIST ILETISIM;BIST TELECOMMUNICATION;TRY;06/01/2023;1043.48;989.11;950.2;1072.6
125;XILTM_CFNPTLUS;BIST ILETISIM (ABD DOLARI);BIST TELECOMMUNICATION (USD);USD;06/01/2023;323.85;323.85;323.85;323.85
126;XILTM_CFNPTLER;BIST ILETISIM (EURO);BIST TELECOMMUNICATION (EURO);EUR;06/01/2023;361.17;361.17;361.17;361.17
127;XINSA;BIST INSAAT;BIST CONSTRUCTION;TRY;06/01/2023;7505.9;7006.1;6717.63;7527.92
128;XINSA_CFNPTLUS;BIST INSAAT (ABD DOLARI);BIST CONSTRUCTION (USD);USD;06/01/2023;2329.5;2329.5;2329.5;2329.5
129;XINSA_CFNPTLER;BIST INSAAT (EURO);BIST CONSTRUCTION (EURO);EUR;06/01/2023;2597.94;2597.94;2597.94;2597.94
130;XSPOR;BIST SPOR;BIST SPORTS;TRY;06/01/2023;1798.89;1695.84;1662.62;1798.89
131;XSPOR_CFNPTLUS;BIST SPOR (ABD DOLARI);BIST SPORTS (USD);USD;06/01/2023;558.3;558.3;558.3;558.3
132;XSPOR_CFNPTLER;BIST SPOR (EURO);BIST SPORTS (EURO);EUR;06/01/2023;622.63;622.63;622.63;622.63
133;XTCRT;BIST TICARET;BIST W. AND RETAIL TRADE;TRY;06/01/2023;8228.21;8078.43;7800.37;8327.15
134;XTCRT_CFNPTLUS;BIST TICARET (ABD DOLARI);BIST W. AND RETAIL TRADE (USD);USD;06/01/2023;2553.67;2553.67;2553.67;2553.67
135;XTCRT_CFNPTLER;BIST TICARET (EURO);BIST W. AND RETAIL TRADE (EURO);EUR;06/01/2023;2847.94;2847.94;2847.94;2847.94
136;XTRZM;BIST TURIZM;BIST TOURISM;TRY;06/01/2023;751.15;728.73;711.51;757.82
137;XTRZM_CFNPTLUS;BIST TURIZM (ABD DOLARI);BIST TOURISM (USD);USD;06/01/2023;233.12;233.12;233.12;233.12
138;XTRZM_CFNPTLER;BIST TURIZM (EURO);BIST TOURISM (EURO);EUR;06/01/2023;259.99;259.99;259.99;259.99
139;XULAS;BIST ULASTIRMA;BIST TRANSPORTATION;TRY;06/01/2023;15665.75;14880.78;14599.27;15838.16
140;XULAS_CFNPTLUS;BIST ULASTIRMA (ABD DOLARI);BIST TRANSPORTATION (USD);USD;06/01/2023;4861.95;4861.95;4861.95;4861.95
141;XULAS_CFNPTLER;BIST ULASTIRMA (EURO);BIST TRANSPORTATION (EURO);EUR;06/01/2023;5422.22;5422.22;5422.22;5422.22
142;XUMAL;BIST MALI;BIST FINANCIALS;TRY;06/01/2023;5158.24;4954.7;4782.88;5238.52
143;XUMAL_CFNPTLUS;BIST MALI (ABD DOLARI);BIST FINANCIALS (USD);USD;06/01/2023;1600.89;1600.89;1600.89;1600.89
144;XUMAL_CFNPTLER;BIST MALI (EURO);BIST FINANCIALS (EURO);EUR;06/01/2023;1785.37;1785.37;1785.37;1785.37
145;XBANK;BIST BANKA;BIST BANKS;TRY;06/01/2023;4725.95;4547.71;4376.44;4824.56
146;XBANK_CFNPTLUS;BIST BANKA (ABD DOLARI);BIST BANKS (USD);USD;06/01/2023;1466.72;1466.72;1466.72;1466.72
147;XBANK_CFNPTLER;BIST BANKA (EURO);BIST BANKS (EURO);EUR;06/01/2023;1635.74;1635.74;1635.74;1635.74
148;XSGRT;BIST SIGORTA;BIST INSURANCE;TRY;06/01/2023;12837.46;12119.27;11602.91;12927.52
149;XSGRT_CFNPTLUS;BIST SIGORTA (ABD DOLARI);BIST INSURANCE (USD);USD;06/01/2023;3984.17;3984.17;3984.17;3984.17
150;XSGRT_CFNPTLER;BIST SIGORTA (EURO);BIST INSURANCE (EURO);EUR;06/01/2023;4443.29;4443.29;4443.29;4443.29
151;XFINK;BIST FIN. KIR. FAKTORING;BIST LEASING FACTORING;TRY;06/01/2023;1940.12;1871.91;1794.23;1963.3
152;XFINK_CFNPTLUS;BIST FIN. KIR. FAKTORING (ABD DOLARI);BIST LEASING FACTORING (USD);USD;06/01/2023;602.13;602.13;602.13;602.13
153;XFINK_CFNPTLER;BIST FIN. KIR. FAKTORING (EURO);BIST LEASING FACTORING (EURO);EUR;06/01/2023;671.51;671.51;671.51;671.51
154;XHOLD;BIST HOLDING VE YATIRIM;BIST HOLD. AND INVESTMENT;TRY;06/01/2023;4908.34;4728.94;4579.57;4995.2
155;XHOLD_CFNPTLUS;BIST HOLDING VE YATIRIM (ABD DOLARI);BIST HOLD. AND INVESTMENT (USD);USD;06/01/2023;1523.33;1523.33;1523.33;1523.33
156;XHOLD_CFNPTLER;BIST HOLDING VE YATIRIM (EURO);BIST HOLD. AND INVESTMENT (EURO);EUR;06/01/2023;1698.87;1698.87;1698.87;1698.87
157;XGMYO;BIST GAYRIMENKUL Y.O.;BIST REAL EST. INV. TRUSTS;TRY;06/01/2023;1998.28;1897.28;1827.14;2013.02
158;XGMYO_CFNPTLUS;BIST GAYRIMENKUL Y.O. (ABD DOLARI);BIST REAL EST. INV. TRUSTS (USD);USD;06/01/2023;620.18;620.18;620.18;620.18
159;XGMYO_CFNPTLER;BIST GAYRIMENKUL Y.O. (EURO);BIST REAL EST. INV. TRUSTS (EURO);EUR;06/01/2023;691.64;691.64;691.64;691.64
160;XAKUR;BIST ARACI KURUMLAR;BIST BROKERAGE HOUSES;TRY;06/01/2023;19933.68;19169;17931.92;20035.69
161;XAKUR_CFNPTLUS;BIST ARACI KURUMLAR (ABD DOLARI);BIST BROKERAGE HOUSES (USD);USD;06/01/2023;6186.52;6186.52;6186.52;6186.52
162;XAKUR_CFNPTLER;BIST ARACI KURUMLAR (EURO);BIST BROKERAGE HOUSES (EURO);EUR;06/01/2023;6899.43;6899.43;6899.43;6899.43
163;XYORT;BIST MENKUL KIYM. Y.O.;BIST INVESTMENT TRUSTS;TRY;06/01/2023;1646.17;1574.26;1553.71;1666.28
164;XYORT_CFNPTLUS;BIST MENKUL KIYM. Y.O. (ABD DOLARI);BIST INVESTMENT TRUSTS (USD);USD;06/01/2023;510.9;510.9;510.9;510.9
165;XYORT_CFNPTLER;BIST MENKUL KIYM. Y.O. (EURO);BIST INVESTMENT TRUSTS (EURO);EUR;06/01/2023;569.77;569.77;569.77;569.77
166;XUTEK;BIST TEKNOLOJI;BIST TECHNOLOGY;TRY;06/01/2023;6165.83;5854.7;5614.69;6243.39
167;XUTEK_CFNPTLUS;BIST TEKNOLOJI (ABD DOLARI);BIST TECHNOLOGY (USD);USD;06/01/2023;1913.6;1913.6;1913.6;1913.6
168;XUTEK_CFNPTLER;BIST TEKNOLOJI (EURO);BIST TECHNOLOGY (EURO);EUR;06/01/2023;2134.11;2134.11;2134.11;2134.11
169;XTKJS;BIST TEKNOLOJI AGIRLIK SINIRLAMALI;BIST TECHNOLOGY CAPPED;TRY;06/01/2023;8538.67;8194.83;7846.4;8603.24
170;XTKJS_CFCPTLUS;BIST TEKNOLOJI AGIRLIK SINIRLAMALI (ABD DOLARI);BIST TECHNOLOGY CAPPED (USD);USD;06/01/2023;2650.02;2650.02;2650.02;2650.02
171;XTKJS_CFCPTLER;BIST TEKNOLOJI AGIRLIK SINIRLAMALI (EURO);BIST TECHNOLOGY CAPPED (EURO);EUR;06/01/2023;2955.4;2955.4;2955.4;2955.4
172;XBLSM;BIST BILISIM;BIST INF. TECHNOLOGY;TRY;06/01/2023;2303.71;2222.23;2119.52;2316.2
173;XBLSM_CFNPTLUS;BIST BILISIM (ABD DOLARI);BIST INF. TECHNOLOGY (USD);USD;06/01/2023;714.97;714.97;714.97;714.97
174;XBLSM_CFNPTLER;BIST BILISIM (EURO);BIST INF. TECHNOLOGY (EURO);EUR;06/01/2023;797.36;797.36;797.36;797.36
175;XSADA;BIST ADANA;BIST ADANA;TRY;06/01/2023;74620.1;71725.83;69954.39;77839.78
176;XSADA_CFNPTLUS;BIST ADANA (ABD DOLARI);BIST ADANA (USD);USD;06/01/2023;23158.74;23158.74;23158.74;23158.74
177;XSADA_CFNPTLER;BIST ADANA (EURO);BIST ADANA (EURO);EUR;06/01/2023;25827.47;25827.47;25827.47;25827.47
178;XSANK;BIST ANKARA;BIST ANKARA;TRY;06/01/2023;7418.43;7052.64;6765.2;7519.05
179;XSANK_CFNPTLUS;BIST ANKARA (ABD DOLARI);BIST ANKARA (USD);USD;06/01/2023;2302.35;2302.35;2302.35;2302.35
180;XSANK_CFNPTLER;BIST ANKARA (EURO);BIST ANKARA (EURO);EUR;06/01/2023;2567.66;2567.66;2567.66;2567.66
181;XSANT;BIST ANTALYA;BIST ANTALYA;TRY;06/01/2023;8073.58;7862.69;7679.51;8170.17
182;XSANT_CFNPTLUS;BIST ANTALYA (ABD DOLARI);BIST ANTALYA (USD);USD;06/01/2023;2505.68;2505.68;2505.68;2505.68
183;XSANT_CFNPTLER;BIST ANTALYA (EURO);BIST ANTALYA (EURO);EUR;06/01/2023;2794.42;2794.42;2794.42;2794.42
184;XSAYD;BIST AYDIN;BIST AYDIN;TRY;06/01/2023;3584.21;3433.4;3330.94;3584.21
185;XSAYD_CFNPTLUS;BIST AYDIN (ABD DOLARI);BIST AYDIN (USD);USD;06/01/2023;1112.38;1112.38;1112.38;1112.38
186;XSAYD_CFNPTLER;BIST AYDIN (EURO);BIST AYDIN (EURO);EUR;06/01/2023;1240.56;1240.56;1240.56;1240.56
187;XSBAL;BIST BALIKESIR;BIST BALIKESIR;TRY;06/01/2023;7307.62;6967.79;6652.57;7340.11
188;XSBAL_CFNPTLUS;BIST BALIKESIR (ABD DOLARI);BIST BALIKESIR (USD);USD;06/01/2023;2267.96;2267.96;2267.96;2267.96
189;XSBAL_CFNPTLER;BIST BALIKESIR (EURO);BIST BALIKESIR (EURO);EUR;06/01/2023;2529.31;2529.31;2529.31;2529.31
190;XSBUR;BIST BURSA;BIST BURSA;TRY;06/01/2023;12199.61;11751.72;11392.35;12315.5
191;XSBUR_CFNPTLUS;BIST BURSA (ABD DOLARI);BIST BURSA (USD);USD;06/01/2023;3786.22;3786.22;3786.22;3786.22
192;XSBUR_CFNPTLER;BIST BURSA (EURO);BIST BURSA (EURO);EUR;06/01/2023;4222.52;4222.52;4222.52;4222.52
193;XSDNZ;BIST DENIZLI;BIST DENIZLI;TRY;06/01/2023;6914.82;6452.24;6173.2;6930.14
194;XSDNZ_CFNPTLUS;BIST DENIZLI (ABD DOLARI);BIST DENIZLI (USD);USD;06/01/2023;2146.05;2146.05;2146.05;2146.05
195;XSDNZ_CFNPTLER;BIST DENIZLI (EURO);BIST DENIZLI (EURO);EUR;06/01/2023;2393.36;2393.36;2393.36;2393.36
196;XSIST;BIST ISTANBUL;BIST ISTANBUL;TRY;06/01/2023;6537.78;6266.15;6075.18;6619.54
197;XSIST_CFNPTLUS;BIST ISTANBUL (ABD DOLARI);BIST ISTANBUL (USD);USD;06/01/2023;2029.04;2029.04;2029.04;2029.04
198;XSIST_CFNPTLER;BIST ISTANBUL (EURO);BIST ISTANBUL (EURO);EUR;06/01/2023;2262.85;2262.85;2262.85;2262.85
199;XSIZM;BIST IZMIR;BIST IZMIR;TRY;06/01/2023;11887.07;11346.64;10878.21;12005.16
200;XSIZM_CFNPTLUS;BIST IZMIR (ABD DOLARI);BIST IZMIR (USD);USD;06/01/2023;3689.22;3689.22;3689.22;3689.22
201;XSIZM_CFNPTLER;BIST IZMIR (EURO);BIST IZMIR (EURO);EUR;06/01/2023;4114.35;4114.35;4114.35;4114.35
202;XSKAY;BIST KAYSERI;BIST KAYSERI;TRY;06/01/2023;24587.8;23431.46;22429.45;24907.43
203;XSKAY_CFNPTLUS;BIST KAYSERI (ABD DOLARI);BIST KAYSERI (USD);USD;06/01/2023;7630.96;7630.96;7630.96;7630.96
204;XSKAY_CFNPTLER;BIST KAYSERI (EURO);BIST KAYSERI (EURO);EUR;06/01/2023;8510.32;8510.32;8510.32;8510.32
205;XSKOC;BIST KOCAELI;BIST KOCAELI;TRY;06/01/2023;16394.27;15644.75;15281.1;16543.37
206;XSKOC_CFNPTLUS;BIST KOCAELI (ABD DOLARI);BIST KOCAELI (USD);USD;06/01/2023;5088.05;5088.05;5088.05;5088.05
207;XSKOC_CFNPTLER;BIST KOCAELI (EURO);BIST KOCAELI (EURO);EUR;06/01/2023;5674.38;5674.38;5674.38;5674.38
208;XSKON;BIST KONYA;BIST KONYA;TRY;06/01/2023;7759.39;7542.67;7181.15;7813.02
209;XSKON_CFNPTLUS;BIST KONYA (ABD DOLARI);BIST KONYA (USD);USD;06/01/2023;2408.17;2408.17;2408.17;2408.17
210;XSKON_CFNPTLER;BIST KONYA (EURO);BIST KONYA (EURO);EUR;06/01/2023;2685.68;2685.68;2685.68;2685.68
211;XSMNS;BIST MANISA;BIST MANISA;TRY;06/01/2023;3320;3170.14;3018.81;3347.76
212;XSMNS_CFNPTLUS;BIST MANISA (ABD DOLARI);BIST MANISA (USD);USD;06/01/2023;1030.38;1030.38;1030.38;1030.38
213;XSMNS_CFNPTLER;BIST MANISA (EURO);BIST MANISA (EURO);EUR;06/01/2023;1149.12;1149.12;1149.12;1149.12
214;XSTKR;BIST TEKIRDAG;BIST TEKIRDAG;TRY;06/01/2023;26783.5;25782.7;24588.38;27031.86
215;XSTKR_CFNPTLUS;BIST TEKIRDAG (ABD DOLARI);BIST TEKIRDAG (USD);USD;06/01/2023;8312.4;8312.4;8312.4;8312.4
216;XSTKR_CFNPTLER;BIST TEKIRDAG (EURO);BIST TEKIRDAG (EURO);EUR;06/01/2023;9270.29;9270.29;9270.29;9270.29
